venue,year,family,count,venue_year_total,share_pct
NeurIPS,2020,AI4Science/健康,115,1898,6.059009483667018
NeurIPS,2020,其他,229,1898,12.065331928345627
NeurIPS,2021,多模态,177,2334,7.583547557840617
NeurIPS,2021,视觉/三维/视频,512,2334,21.936589545844047
NeurIPS,2021,强化学习,465,2334,19.92287917737789
NeurIPS,2021,优化/理论,452,2334,19.365895458440445
NeurIPS,2021,可信安全,167,2334,7.15509854327335
NeurIPS,2021,AI4Science/健康,153,2334,6.555269922879177
NeurIPS,2021,其他,408,2334,17.480719794344473
NeurIPS,2022,大模型,251,2671,9.397229502059155
NeurIPS,2022,视觉/三维/视频,382,2671,14.30175964058405
NeurIPS,2022,强化学习,566,2671,21.19056533133658
NeurIPS,2022,优化/理论,533,2671,19.955073006364657
NeurIPS,2022,推荐/检索/图,151,2671,5.6533133657806065
NeurIPS,2022,可信安全,208,2671,7.787345563459379
NeurIPS,2022,其他,580,2671,21.714713590415574
NeurIPS,2023,大模型,291,3218,9.042883778744562
NeurIPS,2023,生成模型,274,3218,8.514605344934742
NeurIPS,2023,视觉/三维/视频,563,3218,17.495338719701678
NeurIPS,2023,强化学习,534,3218,16.594157862026105
NeurIPS,2023,优化/理论,622,3218,19.32877563704164
NeurIPS,2023,推荐/检索/图,157,3218,4.878806712243629
NeurIPS,2023,可信安全,298,3218,9.260410192666251
NeurIPS,2023,AI4Science/健康,63,3218,1.9577377252952146
NeurIPS,2023,其他,416,3218,12.927284027346179
NeurIPS,2024,大模型,748,4034,18.542389687654932
NeurIPS,2024,多模态,469,4034,11.626177491323748
NeurIPS,2024,生成模型,556,4034,13.782845810609818
NeurIPS,2024,视觉/三维/视频,287,4034,7.1145265245413984
NeurIPS,2024,强化学习,549,4034,13.609320773425878
NeurIPS,2024,优化/理论,767,4034,19.013386217154192
NeurIPS,2024,推荐/检索/图,216,4034,5.354486861675756
NeurIPS,2024,可信安全,207,4034,5.1313832424392665
NeurIPS,2024,其他,235,4034,5.825483391175013
NeurIPS,2025,大模型,1349,5286,25.520242149073024
NeurIPS,2025,多模态,637,5286,12.050699962164208
NeurIPS,2025,生成模型,1121,5286,21.206961785849412
NeurIPS,2025,强化学习,570,5286,10.783200908059024
NeurIPS,2025,优化/理论,659,5286,12.466893681422626
NeurIPS,2025,推荐/检索/图,235,5286,4.4457056375331065
NeurIPS,2025,可信安全,226,5286,4.275444570563754
NeurIPS,2025,AI4Science/健康,362,5286,6.848278471433976
NeurIPS,2025,其他,127,5286,2.4025728339008703
SIGIR,2020,推荐/检索/图,147,147,100.0
SIGIR,2021,多模态,41,151,27.1523178807947
SIGIR,2021,推荐/检索/图,110,151,72.84768211920529
SIGIR,2022,多模态,68,161,42.2360248447205
SIGIR,2022,推荐/检索/图,93,161,57.7639751552795
SIGIR,2023,视觉/三维/视频,28,165,16.969696969696972
SIGIR,2023,推荐/检索/图,137,165,83.03030303030303
SIGIR,2024,多模态,93,214,43.45794392523364
SIGIR,2024,推荐/检索/图,121,214,56.54205607476636
SIGIR,2025,大模型,51,239,21.338912133891213
SIGIR,2025,多模态,77,239,32.21757322175732
SIGIR,2025,推荐/检索/图,111,239,46.44351464435147
WWW,2020,大模型,93,317,29.33753943217666
WWW,2020,推荐/检索/图,224,317,70.66246056782335
WWW,2021,推荐/检索/图,246,355,69.29577464788733
WWW,2021,可信安全,83,355,23.380281690140844
WWW,2021,NLP/语音,26,355,7.323943661971831
WWW,2022,强化学习,29,364,7.967032967032966
WWW,2022,推荐/检索/图,278,364,76.37362637362637
WWW,2022,NLP/语音,57,364,15.659340659340659
WWW,2023,生成模型,96,371,25.87601078167116
WWW,2023,强化学习,37,371,9.973045822102426
WWW,2023,推荐/检索/图,168,371,45.28301886792453
WWW,2023,可信安全,70,371,18.867924528301888
WWW,2024,大模型,32,404,7.920792079207921
WWW,2024,视觉/三维/视频,78,404,19.306930693069308
WWW,2024,推荐/检索/图,259,404,64.10891089108911
WWW,2024,可信安全,35,404,8.663366336633663
WWW,2025,大模型,29,154,18.83116883116883
WWW,2025,视觉/三维/视频,32,154,20.77922077922078
WWW,2025,推荐/检索/图,76,154,49.35064935064935
WWW,2025,可信安全,17,154,11.03896103896104
