venue,year,papers,min_cluster_size,n_neighbors,n_components,raw_topics,raw_outliers,reassigned_outliers,final_outliers,final_topics,largest_topic,median_topic_size,seconds,output_dir
ICDE,2025,390,8,10,15,26,39,39,0,26,42,13.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=ICDE/year=2025
ICLR,2025,3703,10,10,15,140,1080,1080,0,140,96,24.5,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=ICLR/year=2025
ICML,2025,3330,10,10,15,137,781,781,0,137,69,20.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=ICML/year=2025
ICRA,2025,1593,8,10,15,76,391,390,1,76,50,19.5,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=ICRA/year=2025
IJCAI,2025,1280,8,10,15,76,246,246,0,76,40,15.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=IJCAI/year=2025
IROS,2025,1976,8,10,15,99,480,480,0,99,62,17.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=IROS/year=2025
KDD,2025,552,8,10,15,29,127,127,0,29,46,16.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=KDD/year=2025
MICCAI,2025,65,5,10,15,7,13,13,0,7,14,10.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=MICCAI/year=2025
NAACL,2025,718,8,10,15,39,134,134,0,39,49,17.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=NAACL/year=2025
NeurIPS,2025,5286,15,10,15,124,1286,1286,0,124,170,37.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=NeurIPS/year=2025
PR,2025,1512,8,10,15,80,323,323,0,80,53,16.5,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=PR/year=2025
SIGGRAPH,2025,161,6,10,15,12,19,19,0,12,29,11.5,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=SIGGRAPH/year=2025
SIGGRAPH-Asia,2025,192,6,10,15,15,27,27,0,15,25,12.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=SIGGRAPH-Asia/year=2025
SIGIR,2025,239,6,10,15,20,56,56,0,20,22,10.5,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=SIGIR/year=2025
TNNLS,2025,796,8,10,15,38,114,114,0,38,67,17.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=TNNLS/year=2025
WWW,2025,154,6,10,15,13,19,19,0,13,16,13.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=WWW/year=2025
AAAI,2026,4149,15,10,15,104,1023,1023,0,104,112,34.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=AAAI/year=2026
AIJ,2026,39,4,10,15,5,3,3,0,5,17,6.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=AIJ/year=2026
ICLR,2026,5352,15,10,15,131,1452,1452,0,131,118,37.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=ICLR/year=2026
PR,2026,925,8,10,15,51,143,142,1,51,38,17.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=PR/year=2026
TKDE,2026,250,8,10,15,15,47,47,0,15,44,14.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=TKDE/year=2026
TMM,2026,594,8,10,15,34,101,101,0,34,51,15.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=TMM/year=2026
TNNLS,2026,222,6,10,15,18,25,25,0,18,28,9.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=TNNLS/year=2026
