area,venue,venue_type,year,papers,abstracts,abstract_rate,doi
Data / IR / Web / DB,TKDE,journal,2011,289,214,0.7405,289
Data / IR / Web / DB,WWW,conference,2011,81,0,0.0,81
General AI,AAAI,conference,2011,260,245,0.9423,258
General AI,IJCAI,conference,2011,443,253,0.5711,435
ML / learning,ICML,conference,2011,107,107,1.0,0
ML / learning,JMLR,journal,2011,63,62,0.9841,59
ML / learning,NeurIPS,conference,2011,306,29,0.0948,0
ML / learning,TNNLS,journal,2011,29,29,1.0,29
Medical AI,MICCAI,conference,2011,84,0,0.0,84
Multimedia / HCI / graphics,ACMMM,conference,2011,253,0,0.0,253
Multimedia / HCI / graphics,CHI,conference,2011,392,0,0.0,392
Multimedia / HCI / graphics,TMM,journal,2011,179,138,0.7709,178
NLP / language,ACL,conference,2011,292,0,0.0,0
NLP / language,EMNLP,conference,2011,149,0,0.0,0
Robotics / embodied AI,ICRA,conference,2011,1012,0,0.0,1012
Robotics / embodied AI,IROS,conference,2011,787,0,0.0,786
Robotics / embodied AI,RSS,conference,2011,45,0,0.0,45
AI journals,AIJ,journal,2012,86,1,0.0116,86
Computer vision,ECCV,conference,2012,62,0,0.0,62
Computer vision,IJCV,journal,2012,91,5,0.0549,89
Computer vision,PR,journal,2012,363,23,0.0634,339
Computer vision,TIP,journal,2012,443,359,0.8104,443
Computer vision,TPAMI,journal,2012,259,202,0.7799,259
Data / IR / Web / DB,ICDE,conference,2012,115,0,0.0,115
Data / IR / Web / DB,KDD,conference,2012,133,0,0.0,133
Data / IR / Web / DB,SIGIR,conference,2012,179,0,0.0,179
Data / IR / Web / DB,SIGMOD,conference,2012,66,0,0.0,66
Data / IR / Web / DB,TKDE,journal,2012,216,154,0.713,216
Data / IR / Web / DB,WWW,conference,2012,107,0,0.0,107
General AI,AAAI,conference,2012,311,287,0.9228,311
ML / learning,ICML,conference,2012,158,158,1.0,0
ML / learning,JMLR,journal,2012,78,77,0.9872,70
ML / learning,NeurIPS,conference,2012,370,57,0.1541,0
ML / learning,TNNLS,journal,2012,250,186,0.744,250
Medical AI,MICCAI,conference,2012,91,0,0.0,91
Multimedia / HCI / graphics,ACMMM,conference,2012,202,0,0.0,202
Multimedia / HCI / graphics,CHI,conference,2012,369,0,0.0,369
